total,mask
164.81489390731437,152.94123130755492
156.94145476672566,148.39290505193154
178.34484319703188,150.9985553407826
164.46645951192477,157.09294062951395
133.24901860147656,115.87389039181949
153.6625900782965,120.00711670303258
149.1817264756537,124.16536085589414
145.20883753492308,132.0996453545438
143.0168038683478,126.42627671739977
126.38253652999994,136.38216763832452
158.05478635989857,115.55927471604431
152.36059760684657,115.77647124080723
144.98050449303264,116.05277064211673
163.7805204311735,160.34302891533648
169.63352565652164,153.621132010615
152.90208655351307,152.40195409817548
151.7043616558949,116.80977269215532
149.28256278283152,118.94939594731258
183.40475219593282,173.81101836977166
147.3607835060393,117.97901939537141
173.5733124805629,164.4554433640943
145.41009048832348,114.39683998959053
148.73690733167683,120.48845337426398
137.01261583567248,120.51930562270826
173.0438966069487,148.99422841276046
143.8487483067438,113.97424680218163
145.46713032490518,121.01302377566364
170.33075702551287,167.27099528158513
149.68101161485538,125.23079398663015
171.82847901653446,157.70744860035376
147.08644088549045,121.24410621146664
141.72582727842382,114.79736176450714
147.4231926096254,116.65779637187318
163.4008155412448,147.59894244546038
170.75720365298912,150.0980751794523
143.30855935101863,117.93141551109117
134.46402856759232,124.86961580696271
149.35809645884729,128.07789432178436
169.32587993450576,156.27717522908657
172.8986072484622,156.77828023583683
142.25421354267746,122.19379101523784
138.45154037289467,122.42263401190858
167.57359889,166.9760883
185.64374023542044,150.05059501414124
176.4961374669801,164.86925380364252
172.42162442921472,157.54339384575414
165.05555088126857,150.84308640582964
167.6086181998253,148.26168768704102
173.67997113686582,154.1470228096215
164.6854004240595,153.07039806899434
167.40486366942056,158.0088021259564
142.89688472521811,122.35455846105718
143.66830615298386,138.07088855932926
143.06280658207834,142.2209801453585
144.11704792475211,122.47232203495595
161.9943897117773,146.51247722263068
137.31707375981932,120.89636628940985
135.78664695413318,127.15395254980231
144.4054119144057,135.27790675049994
146.5118912565522,127.09159287230202
134.27936043709633,121.75020976023049
140.62566220381996,122.76578502121234
146.18612676045453,123.64638922915373
137.11651284241816,124.01334158914749
150.97968484449666,118.70061719458327
153.78658531607653,120.98980607727
151.9395561593119,115.53903560029443
156.66929917263042,115.02074773390126
155.48590889387924,162.00882061393014
182.85371901233157,171.02487423558534
149.24942102855857,156.77916636690784
148.54075688071316,118.7546983028083
136.13221907999832,123.31599039585977
143.4276387342543,119.1243268878164
137.04853148966504,116.24809924969894
154.5288626872352,155.5344160886875
146.8163845971867,145.12277213035577
139.07954378305294,125.69008019790977
152.49924659795943,151.2304676326458
123.27807786519408,129.758018734146
156.00178601142034,124.48565878831087
142.82221463386668,119.41198464223687
126.43047074764036,125.04314997401254
